客家汉字,Hakka Pronunciation,Chinese definition,English Definition
愛死唔使病,oi4 si3 m su3 piang4,該死的時候會死得很突然。比喻生死無常。,One dies suddenly when fated to; no need to fall ill first. Life and death are unpredictable.
鼻公白糠糠,pi4 gung1 pak6 hong3 hong3,一鼻子灰。比喻沒有結果，白花氣力。,Nose all covered in ash and dust. Came away empty-handed; wasted effort with no result.
心肝摎啜講,sim1 gon1 lau1 zoi4 gong3,自言自語或者自己在想。,Talking with one's heart and mouth together; talking to oneself; thinking out loud or muttering inwardly.
食多嚼唔爛,sit6 do1 ciau4 m lan4,不能太貪心。,Eating too much to chew properly. Don't be greedy; biting off more than you can chew.
上紐搭下紐,song4 liu3 dap5 ha1 liu3,穿衣服把紐扣搭錯了。,"Buttoning up the shirt wrong, fastening one button to the wrong hole. Getting things mixed up; being in a muddle."
大水推牛屎,tai4 sui3 tui1 ngiu2 si3,比喻人動作緩慢。,Big floodwater pushing cow dung slowly along. Describes someone who moves very slowly.
禾稈冚珍珠,vo2 gon3 kem3 zin1 zu1,外表不好看但是裏面很貴重。,Rice straw covering pearls; plain and humble on the outside but precious inside.
鷂婆扡雞仔,yau4 po2 ya3 gai1 zai3,小孩子的遊戲。老鷹抓小雞。,A hawk snatching chicks. The children's game of eagle-catches-chick.
詐懵食雞髀,za4 mung3 sit6 gai1 bi3,裝傻而佔便宜。,Playing dumb to grab the chicken leg. Getting an advantage by pretending ignorance.
啜硬屎窟腍,zoi4 ngang4 si3 fut5 lem2,嘴巴硬屁股軟，比喻虎頭蛇尾。又作屎頭硬屎尾腍。,"Mouth hard, backside soft. Tiger head snake tail; a strong start but a weak finish. Also written 屎頭硬屎尾腍."
子多餓死爺,zu3 do1 ngo4 si3 ya2,孩子太多，生活艱苦。 【13】五字熟語 二維碼13,Too many children starve the father. A large family leads to hardship.
百精唔當一熟,bak5 ziang1 m dong4 yit5 suk5,沒有人脈光靠聰明不行。,A hundred talents are no match for one well-placed connection. Guanxi (social connections) beats raw ability.
分食人吮手指,bun1 sit6 ngin2 con1 siu3 zi3,分派食物的人自己沒分，只好吮手指。表示沒有徇私。,The one who divides the food gets none herself – she can only lick her fingers. Impartial distribution means personal sacrifice.
㧍頭那毛出世,bang1 teu2 la1 mau1 cut5 se4,同胞兄弟姐妹。,Born from the same womb. Full siblings; brothers and sisters by blood.
剝嗨皮都曉跳,bok5 hoi1 pi2 du1 hiau3 tiau4,（指人）性格很厲害，狡猾。,Still jumping even after the skin is stripped off. Describes someone extremely cunning and slippery.
打唔死煠唔爛,da3 m si3 sap6 m lan4,打不死煮不爛，比喻非常頑固的性格。,"Can't be beaten to death or boiled to mush. Describes an extremely stubborn, hardened personality."
踩到芋莢當蛇,cai3 dau3 vu4 hap5 dong4 sa2,形容沒有膽量，很容易被嚇到。,Stepping on a taro husk and thinking it's a snake. Describes a person who is timid and easily frightened.
雞塒腳下蹶食,gai1 zi4 giok5 ha1 kiet6 sit6,一隻雞在雞籠底下找食物。比喻在自己老家騙鄉親。,A chicken scratching for food right under its own roost. Describes cheating or taking advantage of people in your own hometown.
猴唔猴狗唔狗,heu2 m heu2 geu3 m geu3,（指人舉止或衣服）不像話、不倫不類。,Neither monkey nor dog. Describes behaviour or clothing that is inappropriate; neither here nor there; a mess.
蛇過正來打棍,sa2 go4 zang4 loi2 da3 gun4,賊過興兵。,Only grabbing the stick after the snake has already passed. Locking the stable door after the horse has bolted.
屎窟瀝都係膽,si3 fut5 lak5 du1 he4 dam3,嘲笑別人沒膽量。,Even the drops from the backside are all bile/gall. Mockingly says someone has absolutely no courage.
屎頭硬屎尾腍,si3 teu2 ngang4 si3 mui1 lem2,虎頭蛇尾，又作啜硬屎窟腍。,"Hard at the head of the stool, soft at the tail. Tiger head, snake tail; starts strong but ends weakly. Also written 啜硬屎窟腍."
使口唔當自走,su3 keu3 m dong4 zu4 zeu3,靠自己。使喚別人不如自己動手。,Telling others with your mouth is no match for going yourself. Better to do it yourself than to delegate.
偷到雞都嫌瘦,teu1 dau3 gai1 du1 hiam2 seu4,比喻貪心。,Stealing a chicken but finding it too thin. Greediness that is never satisfied.
偷食唔曉繳啜,teu1 sit6 m hiau3 giau3 zoi4,犯事留下線索、證據。 【14】六字熟語 二維碼14,Stealing food without wiping the mouth. Committing a wrongdoing and leaving evidence behind.
更精都食鹹魚頭,an4 ziang1 du1 sit6 ham2 ng teu2,再聰明到頭來還是吃虧，又作貓更精都係食鹹魚頭。,"Even the cleverest person still ends up eating salted fish head (the cheapest part). No matter how smart, you'll still face hardship."
半份婿郎半份子,ban4 fun4 se4 long2 ban4 fun4 zu3,女婿就像半個兒子一樣。,A son-in-law is half a son. Describes the status of a son-in-law in the family.
沸水正沖得好茶,bui4 sui3 zang4 cung1 det5 hau3 ca2,開水才能沖到好茶。意思是工欲善其事，必先利其器。,Only truly boiling water can brew good tea. The right tools and conditions are necessary for quality results.
草蜢唔敢撩雞公,cau3 mang3 m gam3 liau2 gai1 gung1,懂得量力而為，不越級挑戰。,A grasshopper doesn't dare provoke a rooster. Know your limits; don't pick fights with those far stronger.
千擺笨拙冇擺同,cien1 bai3 bun4 cot6 mau2 bai3 tung2,千擺，一千次。笨拙，吃虧的經驗。人每次吃虧方式不一樣。,"A thousand instances of misfortune, not one the same. Every mistake has its own unique circumstances."
知得天光唔賴尿,di1 det5 tien1 gong1 m lai2 ngiau4,早知道結果就不用後悔了。,"If you knew daylight was coming, you wouldn't have wet the bed. Hindsight comes too late."
吊頸都愛敨下氣,diau4 giang3 du1 oi4 teu3 ha4 hi4,怎樣忙碌也要休息一下。,"Even a person being hanged needs to pause for breath. No matter how busy, you must rest."
多重麻布隔重暖,do1 cung1 ma2 bu4 gak5 cung2 lon1,多穿一件什麼衣服都會暖一點。,Every additional layer of coarse cloth adds more warmth. Every little bit helps.
好碗打嗨爻碗在,hau3 von3 da3 hoi1 ngau2 von3 coi1,好的碗打碎了，但是不好看的還在。比喻事與願違，或者該死的不死。,The good bowl is broken; the ugly one survives. The worthy die young while the mediocre persist; things go contrary to hope.
隔籬叔婆飯過香,gak5 li2 suk5 po2 fan4 go4 hiong1,自家的飯不如鄰家的好。也比喻看自己不順眼，覺得別人的才好。,The neighbour aunty's rice smells better. The grass is always greener on the other side.
狗食糯米冇得變,geu3 sit6 lo4 mi3 mau2 det5 bien4,狗屎不能消化糯米的。比喻人食古不化。,A dog eating glutinous rice: it passes through unchanged. Stubbornly set in one's ways; unable to adapt.
看死狗牯屌死貓,kon4 si4 geu3 gu3 diau3 si3 miau4,看着狗把貓強姦了也不加援手。比喻見死不救。,Watching a dog assault a cat without intervening. Standing idly by while someone is harmed; seeing a wrong and doing nothing.
老婆死嗨老婆在,lau3 po2 si3 hoi1 lau3 po2 coi1,老婆死了，過不久就再娶。指夫妻的關係比兄弟、父母隨便很多。,The wife dies; soon there is a new wife. Husband-wife bonds are weaker and more replaceable than parent-child bonds.
老鼠唔留隔夜糧,lau4 cu4 m liu2 gak5 ya4 liong2,老鼠是不會計劃的，有多少就吃多少。嘲笑不會計劃的人。,A mouse does not save overnight food. Mocking those who live for today with no plan for tomorrow.
老虎都曉啄目睡,lau4 fu3 du1 hiau3 duk5 muk5 soi4,老虎都會打瞌睡，比喻更精明的人都會犯錯誤。,Even tigers take naps. Even the most capable person makes mistakes.
老虎唔食孤寒肉,lau4 fu3 m sit6 gu1 hon2 ngiuk5,老虎不吃吝嗇的人。比喻騙錢的人不會向吝嗇的人打主意。,A tiger doesn't eat the flesh of a miser. Con artists don't target stingy people.
唔聲唔聲打爛罌,m sang1 m sang1 da3 lan4 ang1,平時很低調的人有時候會嚇你一跳。,Quietly broke the jar. A quiet person who can suddenly surprise you with an unexpected action.
冇見過大蛇屙屎,mau2 gien4 go4 tai4 sa2 o1 si3,屙屎是拉屎，比喻沒有見過大場面。,Never seen a big snake defecate. Describes someone who has never seen the wider world; naive.
冇病冇痛當發財,mau2 piang4 mau2 tung4 dong4 fat5 coi2,健康就是財富，不奢求大富大貴。,No illness and no pain is as good as being rich. Health is the greatest wealth.
貓抄飯甑總成狗,miau4 cau4 fan4 zen4 zung3 sin2 geu3,飯甑，飯桶。比喻為別人白忙，為他人做嫁衣。,A cat stealing from the rice pot ends up benefiting the dog. Working hard for others' benefit; doing all the work while someone else takes the gain.
燒茶熱飯冷金瓜,sau1 ca2 ngiet6 fan4 lang1 gim1 ga1,茶和飯要趁熱吃，但南瓜最好放涼才吃。,"Drink tea hot, eat rice hot, but eat pumpkin cold. Different things have their optimal conditions."
屎出正來挑糞缸,si3 cut5 zang4 loi2 tiau1 bun4 gong1,便急才去挖糞坑。臨渴掘井。,Needing to defecate only when you start digging the cesspit. Leaving things to the very last moment; procrastinating.
屎窟冇蟲拈蚿鑚,si3 fut5 mau2 cung2 ngiam1 hien3 zon4,屁股沒有蟲子，撿一條蚯蚓去鑚。比喻自找麻煩。,"No worm in the backside, so you pick up a centipede to insert. Inviting trouble upon yourself unnecessarily."
屎窟走嗨眾人位,si3 fut5 zeu3 hoi1 zung4 ngin2 vui4,屁股一離開就是人人都可以坐的位子。,"Once a backside leaves a seat, it becomes available to everyone. No position is held forever; once you vacate it, it belongs to all."
心肝唔好眼生壞,sim1 gon1 m hau3 ngan3 sang1 fai4,心肝，心腸。心腸不好，眼睛就會打壞主意。,"When the heart is corrupt, the eyes get wicked ideas. A corrupt nature leads to corrupt thoughts and actions."
算命唔靈自家折,son4 miang4 m liang2 ci2 ga1 zet5,自己的命不好，算命的也不會算，只好自己折算一下。,"When the fortune-teller can't predict your fate, you estimate it yourself. Making do without expert guidance."
一家便宜兩家着,yit5 ga1 pien2 yi2 liong3 ga1 cok6,一件事情雙方都撿到便宜。現代說法叫“雙贏”。,One household's bargain benefits both parties. A win-win situation; modern equivalent is '雙贏'.
一條貓毛三條蟲,yit5 tiau2 miau4 mau1 sam1 tiau2 cung2,農村養的貓很髒，毛上面有很多蟲子和病菌，所以要小心不要碰到或吃到。,"One cat hair, three worms. Village cats are filthy and full of bacteria; don't touch them or eat near them."
早死爺娘冇教招,zau3 si3 ya2 ngiong2 mau2 gau1 zau1,父母早死，沒有教養。用來罵沒有教養的人。,"Parents died early, so no one taught manners. Used to mock someone who has no upbringing or manners."
做死唔夠補天穿,zo4 si3 m geu4 bu3 tien1 con1,怎樣做都補不了天上的大洞。比喻白費努力。 【15】七字熟語 二維碼15,Working yourself to death still wouldn't be enough to patch the sky. Describes futile effort; no amount of effort can fix the problem.
阿官好做唔得一世過,a1 gon1 hau3 zo4 m det5 yit5 se4 go4,懶惰過日子很容易，但要過一輩子很難。,"Easy to be lazy, but you can't live like that forever. A lazy lifestyle is enjoyable but unsustainable."
更好龍床都唔當狗竇,an4 hau3 lung2 cong2 du1 m dong4 geu3 deu4,出遠門睡不慣，還是自己的窩最好。,Even the finest dragon bed is no match for your own dog kennel. There's no place like home.
放高惶貓放低惶狗,fong4 gau1 kong2 miau4 fong4 dai1 kong2 geu3,惶（ kōng）是怕的意思，把食物放哪裏都怕給貓狗夠到。比喻畏首畏尾。,Put the food high and fear the cat; put it low and fear the dog. Can't win either way; constantly afraid.
蛤蟆過大還係胲過大,ha2 ma2 go4 tai4 han2 he4 goi1 go4 tai4,蛤蟆大還是牠的下巴大？比喻不分主次。,Is the frog bigger or is its chin bigger? Not knowing what matters most; losing perspective on what is primary.
唔好欺負奀嫲冇嬭菇,m hau3 ki1 fu4 ze1 ma2 mau2 len4 gu1,奀嫲，瘦小女孩。嬭菇，乳房。比喻人不可以貌相。,Don't bully a thin girl just because she has no breasts. Don't judge by appearances; don't underestimate people.
盲眼嘅恅過光眼嘅食好滴,mang2 ngan3 e4 lau1 go4 gong1 ngan3 e4 sit6 hau3 dit5,別人對你好，但你卻去猜疑。,The blind person assumes the sighted person eats better. Suspecting people who are actually treating you well.
冇食過豬肉也看$過豬毛,mau2 sit6 go4 zu1 ngiuk5 du1 kon4 go4 zu1 mau1,比喻見識廣博。,Haven't eaten pork but have seen pig hair. Having extensive knowledge and experience even without direct participation.
愛死都唔爭哎半夜命,oi4 si3 du1 m zang1 ai4 ban4 ya4 miang4,反正都要死了，多了半夜的命用途不大。,"Destined to die, what use is an extra half-night of life? Accepting the inevitable; not grasping at a little more time."
蛇唔咬你恅過黃鱔,sa2 m ngau1 ngi2 lau1 go4 vong2 sien1,給你欺負不反抗，你就以為很好欺負。,The snake doesn't bite you so you assume it's as harmless as an eel. Mistaking tolerance for weakness; taking advantage of someone's patience.
山豬坐巢惡過老虎,san1 zu1 co4 cau2 ok5 go4 lau4 fu3,山豬，野豬。比喻猛虎不如地頭蛇。,A wild boar defending its den is fiercer than a tiger. A local is more formidable in their own territory than any outsider.
屎出褲頭帶正來打結,si3 cut5 fu4 teu2 dai4 zang4 loi2 da3 git5,便急才發現褲頭帶打結，比喻倒霉極了。,"Urgently needing to go, only to find the trouser strings are knotted. The worst possible timing; everything going wrong at once."
死老鼠有盲貓公來拖,si3 lau4 cu3 yiu1 mang2 miau4 gung1 loi2 to1,比喻一個人無論如何都會找到結婚對象。又作“醜人自有醜人愛”。,Even a dead mouse will have a blind tomcat come to drag it away. Everyone finds someone to marry eventually. Also: 醜人自有醜人愛.
使妹仔大過主人婆,su3 moi4 zai3 ta4 go4 zu3 ngin2 po2,使妹仔，婢女。比喻主次不分。,The maidservant has more power than the mistress. The servant has authority over the employer; priorities completely inverted.
一百句當你五十雙,yit5 bak5 gi4 dong4 ngi2 ng3 sip6 sung1,（人家的話）當耳邊風，不聽別人的勸告 【16】八個字以上單句或短語 二維碼16,"One hundred words are treated as fifty pairs (i.e., ignored). Not listening to advice; letting words go in one ear and out the other."
