客家汉字,Hakka Pronunciation,Chinese definition,English Definition
天放黃，大水浸眠床,"tien1 fong4 vong2, tai4 sui3 zim4 min2 cong2",日落以後如果天上泛起黃色的霞光，過幾天就會下大暴雨。,"When the sky turns yellow at sunset, flooding will reach the beds. A weather sign predicting heavy rainfall."
獨柴難燒，獨子難教,"tuk6 cai2 lan2 sau1, tuk6 zu3 lan2 gau1",獨子因為沒有兄弟姊妹，不容易教養。,A single stick of wood is hard to burn; an only child is hard to raise. Upbringing requires multiple influences.
烏蠅摟，烏蠅囓,"vu1 yin2 leu1, vu1 yin2 ngat5",被蒼蠅圍繞叮咬,Swarmed by flies and bitten by flies. Being plagued by flies.
有錯子，冇錯孫,"yiu1 co4 zu3, mau2 co4 sun1",被人收養的孩子，如果在結婚前改回原來的姓氏是可以的，但如果養子生了孩子，孫子則不可以改回原來的姓氏了。,"An adopted child can reclaim their original surname before marriage, but the grandchildren cannot. The rules of adoption and lineage."
若愛甜，先放鹽,"yok6 oi4 tiam2, sien1 fong4 yam2",煮菜要放鹽才有味道。,"If you want sweet, first add salt. A cooking paradox: salt enhances sweetness."
早就來坐，暗就來摸,"zau3 ciu4 loi2 co1, am4 ciu4 loi2 mo1",時間管理不善，白天沒做好事情，到了晚上才認真工作。,Come to sit during the day; come to grope in the dark at night. Poor time management: doing important things after dark when it should be done in daylight.
蒸春煠茄，毒過後來婆,"zin1 cun1 sap6 kio2, tuk6 go4 heu4 loi2 po2",民間認為蒸雞蛋和水煮茄子會很“毒”，會觸發傷口發炎甚至潰瘍。,Steamed eggs and boiled eggplant are more toxic than a stepmother. Folk belief that these foods aggravate wounds and cause inflammation.
進豬貧，進狗富,"zin4 zu1 pin2, zin4 geu3 fu4",民間迷信，認為自來豬是不吉利的，會帶來貧窮。自來狗則會帶來財富。,A stray pig brings poverty; a stray dog brings wealth. Folk superstition.
做鹽唔鹹，做醋唔酸,"zo4 yam2 m ham2, zo4 cu4 m son1",比喻一事無成。 【17】五字以上兩句，首句三到四個字 二維碼17,Making salt that's not salty; making vinegar that's not sour. Accomplishing nothing; failing at everything you attempt.
出門冇老大，包尾食飽撿碗筷,"cut5 mun2 mau2 lau3 tai4, bau1 mui1 sit6 bau3 giam3 von3 kai4", 不管是誰，最後吃飽的要收拾碗筷。,Whoever finishes eating last must collect the bowls and chopsticks. No special seniority once outside the home.
狐狸莫罵貓，罵到狐狸呀呀叫,"fu2 li2 mok6 ma4 miau4, ma4 dau3 fu2 li2 nga3 nga3 giau4", 自己也有類似的缺點卻還去罵人。,Don't let the fox mock the cat – the fox will end up shrieking too. Those who have similar faults shouldn't criticize others.
腳趾長過公，唔死一世窮,"giok5 zi3 cong2 go4 gung1, m si3 yit5 se4 kiung2", 迷信說法，沒有科學根據。,Toes longer than the big toe – destined for lifelong poverty. A folk superstition with no scientific basis.
好心冇好報，好柴燒爛灶,"hau3 sim1 mau2 hau3 bau4, hau3 cai2 sau1 lan4 zau4", 慨歎好心人往往得不到好報。,Good intentions bring no reward – good firewood just burns the bad stove. A lament that virtuous people often suffer.
係蛇一身冷，係狼一身腥,"he4 sa2 yit5 sin1 lang1, he4 long2 yit5 sin1 siang1", 事物的本質不會變。,A snake is cold all over; a wolf smells all over. Things cannot change their fundamental nature.
泥蛇一畚箕，唔當田棍蛇一條,"lai2 sa2 yit5 bun4 gi1, m dong4 tien2 gun4 sa2 yit5 tiau2", 貴精不貴多。也可以把“田棍蛇”說成“青竹蛇”。,A basket of mud snakes doesn't equal one field-bamboo snake. Quality beats quantity.
懶人多屎尿，唔推冇得料,"lan1 ngin2 do1 si3 ngiau4, m toi1 mau2 det5 liau4", 懶惰的人往往用上廁所為藉口偷懶。,Lazy people always need to use the bathroom. Lazy people use toilet trips as an excuse to avoid work.
懶人有懶命，鑊頭唔洗狗舐凈,"lan1 ngin2 yiu1 lan1 miang4, vok6 teu2 m se3 geu3 se1 ciang4", 懶惰的人往往得到上天的眷顧。,Lazy people have lucky lives – the unwashed pot gets licked clean by the dog. The lazy sometimes end up better off.
蟻子食一千，烏蠅唔好食半邊,"li1 zu3 sit6 yit5 cien1, vu1 yin2 m hau3 sit6 ban4 bien1", 螞蟻通常不帶軍（菌），吃了沒怎樣，可是吃了蒼蠅麻煩就大了。,Ants eat a thousand without harming you; even half a fly is dangerous. Ants don't carry germs; flies do.
唔怕落霜天，緊惶烏黷愁,"m pa4 lok6 song1 tien1, gin3 kong2 vu1 du4 seu2", 有霜的天氣通常是晴天，早上雖然冷但中午會暖和。但陰冷的天氣卻更難受。,Not afraid of frosty days; more worried about grey overcast days. Frost means clear skies; grey cold is more unpleasant.
人情緊過債，鑊頭拿去賣,"ngin2 cin2 gin3 go4 zai4, vok6 teu2 la1 hi4 mai4", 比喻拿紅包做人情很重要。,Social obligations are tighter than debt – the pot can be sold to fulfil them. Gift-giving obligations are more binding than financial ones.
人多好做事，人少好做年,"ngin2 do1 hau3 zo4 su4, ngin2 sau3 hau3 zo4 ngien2", 幹活人多比較好，過年人少就省事兒。,Many people are good for work; few people are good for New Year. Large group for labor; small group for celebrations.
人冇千日好，花冇百日紅,ngin2 mau2 cien1 ngit5 hau3. fa1 mau2 bak5 ngit5 fung2, 人總會隔一些時間就生病。,No person is healthy for a thousand days; no flower blooms for a hundred. Everyone gets sick eventually.
人愛人打落，火愛人歕著,"ngin2 oi4 ngin2 da3 lok6, fo3 oi4 ngin2 pun2 cok6", 打落就是看扁。被看扁就會有上進心，好比火要用力吹才會著。,People need to be challenged; fire needs to be blown. Being underestimated motivates people to rise.
山精唔識寶，蘇木袞來做柴燒,"san1 zin1 m sit5 bau3, su1 muk5 gun3 loi2 zo4 cai2 sau1", 山精，沒見過世面、沒知識的人。蘇木是貴重的材料。比喻不懂得珍惜好東西。,An ignorant mountain folk uses precious sappan wood as firewood. Those without knowledge don't appreciate valuable things.
食飯打赤膊，做事尋衫着,"sit6 fan4 da3 cak5 bok5, zo4 se4 cim2 sam1 zok5", 嘲笑人只會吃飯不會幹活。,Bare-chested for eating; putting on a shirt only for work. Mocking those who eat enthusiastically but work unwillingly.
食齋會變仙，牛馬上西天,"sit6 zai1 voi4 bien4 sien1, ngiu2 ma1 song1 si1 tien1", 只靠吃齋修行來改變命運是不夠的。,Eating vegetarian alone won't make you immortal – oxen and horses go to heaven too. Superficial virtue is not enough.
糶榖買番薯，曉算唔曉除,"tiau4 guk5 mai1 fan1 su2, hiau3 son4 m hiau3 cu2", 以為自己聰明，把米賣掉來買紅薯。,"Selling rice to buy sweet potatoes, thinking you're clever. Being clever by half; a foolish trade."
天起狐狸斑，曬穀唔使翻,"tien1 hi3 fu2 li2 ban1, sai4 guk5 m su3 fan1", 天上出現狐狸斑一樣的高積雲，連續幾天會天晴。,"When altocumulus clouds appear in the sky, fine weather will last several days. No need to turn the grain drying in the sun."
獨貓掌穀倉，獨狗掌庵堂,"tuk6 miau4 zong3 guk5 cong1, tuk6 geu3 zong3 am1 tong2", “獨”是指沒兄弟姊妹的動物。客家人相信獨貓特別好，獨狗就不太吉利了。,An only cat guards the granary well; an only dog guarding the temple is unlucky. Hakka folk belief about only-animal superstitions.
烏龜莫笑鼈，大家泥裏穴,"vu1 gui1 mok6 siau4 biet5, tai4 ga1 lai2 li1 hiet6", 既然大家是同類就不要互相嘲笑。,Don't let the turtle mock the softshell turtle – both live in mud. Don't mock others who are in the same situation as you.
閻王唔在家，鬼仔打翻車,"yam2 vong2 m coi1 ka1, gui3 zai3 da3 fan1 ca1", 比喻大人離家以後，小孩子在家裏亂玩。,"When the King of Hell is away, the little ghosts overturn carts. When the boss is away, subordinates run wild."
一日打喇赤，三日尋火炙,"yit5 ngit5 da3 lak5 cak5, sam1 ngit5 cim2 fo3 zak5", 打喇赤，打赤膊。冬天裏如果有一天特別溫暖，便是變天的前奏。接着的幾天一定很冷。,One warm day in winter means several cold days to follow. A warm spell in winter is a sign of approaching cold.
一日閹九豬，九日冇豬閹,"yit5 ngit5 yam1 giu3 zu1, giu3 ngit5 mau2 zu1 yam1", 一曝十寒。,"Castrate nine pigs in one day, then nine days with no pigs to castrate. One intense burst of work followed by a long idle period; feast or famine."
一夜冇睡目，十夜補唔足,"yit5 ya4 mau2 soi4 muk5, sip6 ya4 bu3 m zuk5", 一晚不睡覺，十晚補不來。,One sleepless night; ten nights cannot make it up. Sleep debt accumulates and cannot be easily repaid.
有肉嫌有毛，有酒嫌冇糟,"yiu1 ngiuk5 hiam2 yiu1 mau1, yiu1 ziu3 hiam2 mau2 zau1", 比喻人貪心，想得寸進尺。,Complain that meat has fur; complain that wine has no lees. Never satisfied; always finding fault.
左手左泥跛，右手發跛蹄,"zo3 siu3 zo3 lai2 bai1, yiu4 siu3 bot5 bai1 tai2", 嘲笑左撇子。,Left hand causes a limp on the left; right hand causes a stumble. Mocking left-handed people.
阿斗官食牙蕉皮，食一時得一時,"a1 deu3 gon1 sit6 nga2 ziau1 pi2, sit6 yit5 si2 det5 yit5 si2",相傳阿斗官是個富家子弟，後來家道中落要吃蕉皮充飢，比喻環境變差就得要適應一下。,"The young master Ah Dou, fallen on hard times, had to eat banana peels to survive. Adapt to circumstances; make do with what you have at any given time."
朝上無人莫做官，廚下無人莫去鑚,"cau2 song4 mau2 ngin2 mok6 zo4 gon1, cu4 ha4 mau2 ngin2 mok6 hi4 zon1",沒有熟人哪裏都不行。,"Without connections at court, don't seek an official post; without knowing the cook, don't try to get into the kitchen. Connections are everything."
千揀萬揀揀隻爛燈盞，千擇萬擇擇隻爛飯勺,"cien1 gan3 man4 gan3 gan3 zak5 lan4 den1 zan3, cien1 tok6 man4 tok6 tok6 zak5 lan4 fan4 sok6",（指找對象）選擇了千遍萬遍，到頭來找到的還是很差勁的。,"After a thousand choosings, you still end up with a broken lamp. After all that deliberation, the result is still poor."
醜人自有醜人愛，爛鑊自有爛鑊蓋,"ciu3 ngin2 zu4 yiu1 ciu4 ngin2 oi4, lan4 vok6 zu4 yiu1 lan4 vok6 goi4",安慰人無論怎樣醜都會找到結婚對象。,Even the ugly will find love; even a broken wok has a lid to fit it. Everyone finds their match; don't despair.
多啜婦娘多大舅，多啜男人多朋友,"do1 zoi4 bu1 ngiong2 do1 tai4 kiu1, do1 zoi4 lam2 ngin2 do1 pen2 yiu1",愛說話的人往往很多朋友。,A talkative woman gains many brothers-in-law; a talkative man gains many friends. Talkers build wide social networks.
打銅鑼手又攰，燒紙寶面又烏,"da3 tung2 lo2 siu3 yiu4 kioi4, sau1 zi3 bau3 mien4 yiu4 vu1", 在慶典上幫忙打鑼或者燒紙錢哪都不行。比喻一事無成。,Beating the gong makes your hands tired; burning paper money makes your face black. Doing two thankless tasks and getting nothing from either.
冬至唔過唔寒，夏至唔過唔暖,"dung1 zi4 m go4 m hon2, ha4 zi4 m go4 m lon1", 農諺。夏天過了夏至才開始熱，冬天過了冬至才會冷。,Cold only after Winter Solstice; warm only after Summer Solstice. A seasonal proverb.
狐狸唔知尾下臭，田螺唔知屎窟皺,"fu2 li2 m di1 mui1 ha1 ciu4, tien2 lo2 m di1 si3 fut5 ziu4",比喻人往往自己不知道自己的缺點。,A fox doesn't know its tail smells; a river snail doesn't know its own backside is wrinkled. People are blind to their own faults.
緊倚勢哎管鼻，撿到來餓絕氣,"gin3 yi3 si4 ai4 gon3 pi4, giam3 dau3 loi2 ngo4 ciet6 hi4", 以為自己有些優點，怎知道光依靠它是活不了的。,"The more you rely on your nose, the more likely it is to starve to death. Over-relying on any single advantage will lead to ruin."
看人做油煎煎，自家做臭火煙,"kon4 ngin2 zo4 yiu2 zien1 zien1, ci2 ga1 zo4 ciu4 fo4 yen1", 看別人做得容易，自己做起來卻不行。,Watching others cook it looks easy; doing it yourself produces only smoke and a bad smell. Things look easy until you try them yourself.
爛畚箕打湖鰍，走嘅走溜嘅溜,"lan4 bun4 gi1 da4 fu2 ciu1, zeu3 e4 zeu3 liu1 e4 liu1", 比喻各散東西。,"A rotten dustpan used to catch loaches – some escape, some slip away. Things scatter in all directions."
老婆就心肝命袋，阿㜆就臭風鹹菜,"lau3 po2 ciu4 sim1 gon1 miang4 toi4, a1 mi1 ciu4 ciu4 fung1 ham2 coi4",心肝命袋，即心肝寶貝。鹹菜是農村生活的日常食品，可以存放一段日子，但太久會變壞會有一種特別的臭味，客家話叫做臭風。整句話指兒子婚後只疼愛老婆，不理母親。,A wife is treasured like a precious jewel; a mother is treated like stale pickled vegetables. Describes a son who values his wife over his mother.
吂曾落水先唱歌，有落都唔多,"man2 cen2 lok6 sui3 sien1 cong4 go1, yiu1 lok6 du1 m do1",下雨前雷聲大，下雨不多。,Singing before the rain falls means there won't be much rain. All bark and no bite; big noise before little action.
冇油麻唔成茶，冇婦娘唔成家,"mau2 yiu1 ma2 m sang2 ca2, mau2 bu1 ngiong2 m sang2 ga1", 擂茶必有芝麻，比喻女人是一個家庭不可或缺的部分。,"No sesame, no 擂茶 (Hakka ground tea); no woman, no home. Women are indispensable to the household."
你唔嫌厓籮疏，厓唔嫌你米碎,"ngi2 m hiam2 ngai2 lo2 so1, ngai2 m hiam2 ngi2 mi3 sui4",謂夫妻之間不要互相嫌棄。,You don't complain my basket is loose; I don't complain your rice is broken. Mutual tolerance between husband and wife.
蛇爭蛇𧊅爭𧊅，蝦公爭老蟹,"sa2 zang1 sa2 gai3 zang1 gai3, ha2 gung1 zang1 lau4 hai3",人往往幫自己人說話。,Snakes take the snake's side; frogs take the frog's side; shrimps side with old crabs. People naturally defend their own kind.
生子唔得子時到，生女唔得午時來,"sang1 zu3 m det5 zu3 si2 dau4, sang1 ng3 m det5 ng3 si2 loi2",生兒子子時最好，女兒則在午時最理想。但這只是順口溜而已，沒有科學根據。,"For sons, the zi hour (midnight) is best; for daughters, the wu hour (noon) is best. A folk rhyme with no scientific basis."
殺頭生理有人做，蝕本生理冇人做,"sat5 teu2 sen1 li1 yiu1 ngin2 zo4, set6 bun3 sen1 li1 mau2 ngin2 zo4",獲利豐厚的生意，哪怕是殺頭也有人做。虧本的就相反。,Even a business that risks decapitation will find someone to do it if the profit is good; but no one does a loss-making business. People follow profit.
心臼多懶洗碗，鴨嫲多懶生卵,"sim1 kiu1 do1 lan1 se4 von3, ap5 ma2 do1 lan1 sang1 lon3", 幹活的人多，互相推搪。,"Too many daughters-in-law are lazy about washing dishes; too many duck hens lay fewer eggs. When there are too many hands, responsibility is diffused."
食死老公拑凳板，餓死老婆磨爛席,"sit6 si3 lau3 gung1 kiam2 den4 ban3, ngo4 si4 lau3 po2 mo4 lan4 ciak6",女人太會吃，男人不會賺錢，家庭都會破裂。,A wife who eats too much breaks the bench; a husband who earns nothing wears out the sleeping mat. Both excess and poverty destroy family life.
食粥唔當食飯，炙火唔當踞炭,"sit6 zuk5 m dong4 sit6 fan4, zak5 fo3 m dong4 kiu2 tan4", 簡單的道理誰都會。,Congee isn't as filling as rice; warming by a fire isn't as good as sitting on charcoal. Common wisdom that everyone knows.
爺娘記子長江水，子記爺娘冇擔竿長,"ya2 ngiong2 gi4 zu3 cong2 gong1 sui3, zu3 gi4 ya2 ngiong2 mau2 dam4 gon1 cong2",父母愛孩子，孩子卻不會長期記掛父母,A parent's love for a child is as long as the Yangtze River; a child's memory of parents is shorter than a carrying pole. Parents love more than children return.
